timestamp,app,direction,protocol,src_ip,dst_ip,sport,dport,pkt_len,ip_ttl,tcp_flags,tcp_window,payload_len,inter_arrival_ms,flow_id
1777297843.080239,traffic,in,UDP,10.129.9.167,149.156.96.8,57979,53,63,128,0,0,35,2.237,10.129.9.167:57979-149.156.96.8:53-UDP
1777297843.08075,traffic,in,UDP,10.129.9.167,149.156.96.8,59281,53,63,128,0,0,35,0.0,10.129.9.167:59281-149.156.96.8:53-UDP
1777297843.081989,traffic,in,UDP,149.156.96.8,10.129.9.167,53,59281,158,61,0,0,130,1.239,10.129.9.167:59281-149.156.96.8:53-UDP
1777297843.083092,traffic,in,UDP,149.156.96.8,10.129.9.167,53,57979,146,61,0,0,118,2.853,10.129.9.167:57979-149.156.96.8:53-UDP
1777297843.083404,traffic,in,UDP,10.129.9.167,149.156.96.8,59281,53,68,128,0,0,40,1.416,10.129.9.167:59281-149.156.96.8:53-UDP
1777297843.083808,traffic,in,UDP,149.156.96.8,10.129.9.167,53,59281,84,61,0,0,56,0.404,10.129.9.167:59281-149.156.96.8:53-UDP
1777297843.084064,traffic,in,UDP,10.129.9.167,149.156.96.8,57979,53,68,128,0,0,40,0.972,10.129.9.167:57979-149.156.96.8:53-UDP
1777297843.08446,traffic,in,UDP,149.156.96.8,10.129.9.167,53,57979,96,61,0,0,68,0.395,10.129.9.167:57979-149.156.96.8:53-UDP
1777297843.084707,traffic,in,TCP,142.250.130.95,10.129.9.167,443,56040,527,118,24,478,487,4.981,10.129.9.167:56040-142.250.130.95:443-TCP
1777297843.084944,traffic,in,TCP,10.129.9.167,142.250.130.95,56040,443,40,128,16,255,0,0.237,10.129.9.167:56040-142.250.130.95:443-TCP
1777297843.085369,traffic,in,TCP,10.129.9.167,20.50.88.238,59406,443,785,128,24,254,745,189.416,10.129.9.167:59406-20.50.88.238:443-TCP
1777297843.085697,traffic,in,TCP,20.50.88.238,10.129.9.167,443,59406,40,106,16,16386,0,0.328,10.129.9.167:59406-20.50.88.238:443-TCP
1777297843.086029,traffic,in,TCP,20.50.88.238,10.129.9.167,443,59406,370,106,24,16386,330,0.332,10.129.9.167:59406-20.50.88.238:443-TCP
1777297843.086271,traffic,in,TCP,20.50.88.238,10.129.9.167,443,59406,67,106,24,16386,27,0.242,10.129.9.167:59406-20.50.88.238:443-TCP
1777297843.086799,traffic,in,TCP,10.129.9.167,20.50.88.238,59406,443,40,128,16,252,0,0.528,10.129.9.167:59406-20.50.88.238:443-TCP
1777297843.087344,traffic,in,UDP,10.129.9.167,149.156.96.8,59281,53,79,128,0,0,51,3.536,10.129.9.167:59281-149.156.96.8:53-UDP
1777297843.087786,traffic,in,UDP,10.129.9.167,149.156.96.8,57979,53,79,128,0,0,51,3.327,10.129.9.167:57979-149.156.96.8:53-UDP
1777297843.088213,traffic,in,UDP,10.129.9.167,149.156.119.130,57979,53,79,128,0,0,51,0.0,10.129.9.167:57979-149.156.119.130:53-UDP
1777297843.088601,traffic,in,UDP,10.129.9.167,149.156.119.130,59281,53,79,128,0,0,51,0.0,10.129.9.167:59281-149.156.119.130:53-UDP
1777297843.089161,traffic,in,UDP,149.156.119.130,10.129.9.167,53,59281,140,61,0,0,112,0.56,10.129.9.167:59281-149.156.119.130:53-UDP
1777297843.089703,traffic,in,UDP,149.156.119.130,10.129.9.167,53,57979,152,61,0,0,124,1.49,10.129.9.167:57979-149.156.119.130:53-UDP
1777297843.089946,traffic,in,UDP,10.129.9.167,149.156.96.8,50090,53,77,128,0,0,49,0.0,10.129.9.167:50090-149.156.96.8:53-UDP
1777297843.090217,traffic,in,UDP,10.129.9.167,149.156.119.130,50090,53,77,128,0,0,49,0.0,10.129.9.167:50090-149.156.119.130:53-UDP
1777297843.091094,traffic,in,UDP,149.156.119.130,10.129.9.167,53,50090,93,61,0,0,65,0.878,10.129.9.167:50090-149.156.119.130:53-UDP
1777297843.091585,traffic,in,UDP,10.129.9.167,149.156.96.8,50611,53,77,128,0,0,49,0.0,10.129.9.167:50611-149.156.96.8:53-UDP
1777297843.092055,traffic,in,UDP,149.156.96.8,10.129.9.167,53,50611,105,61,0,0,77,0.47,10.129.9.167:50611-149.156.96.8:53-UDP
1777297843.092467,traffic,in,UDP,149.156.96.8,10.129.9.167,53,50090,93,61,0,0,65,2.522,10.129.9.167:50090-149.156.96.8:53-UDP
1777297843.093159,traffic,in,UDP,149.156.96.8,10.129.9.167,53,59281,140,61,0,0,112,5.816,10.129.9.167:59281-149.156.96.8:53-UDP
1777297843.093924,traffic,in,UDP,149.156.96.8,10.129.9.167,53,57979,152,61,0,0,124,6.137,10.129.9.167:57979-149.156.96.8:53-UDP
1777297843.094355,traffic,in,TCP,142.250.130.95,10.129.9.167,443,56040,204,118,24,478,164,9.411,10.129.9.167:56040-142.250.130.95:443-TCP
1777297843.094566,traffic,in,TCP,10.129.9.167,142.250.130.95,56040,443,40,128,16,255,0,0.211,10.129.9.167:56040-142.250.130.95:443-TCP
1777297843.094905,traffic,in,UDP,10.129.9.167,149.156.96.8,50611,53,66,128,0,0,38,2.85,10.129.9.167:50611-149.156.96.8:53-UDP
1777297843.095363,traffic,in,UDP,10.129.9.167,149.156.96.8,57989,53,66,128,0,0,38,0.0,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.09637,traffic,in,UDP,149.156.96.8,10.129.9.167,53,57989,209,61,0,0,181,1.007,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.098124,traffic,in,UDP,149.156.96.8,10.129.9.167,53,50611,193,61,0,0,165,3.22,10.129.9.167:50611-149.156.96.8:53-UDP
1777297843.098555,traffic,in,UDP,10.129.9.167,149.156.96.8,57989,53,63,128,0,0,35,2.185,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.099917,traffic,in,UDP,149.156.96.8,10.129.9.167,53,57989,159,61,0,0,131,1.362,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.100348,traffic,in,UDP,10.129.9.167,149.156.96.8,50611,53,63,128,0,0,35,2.224,10.129.9.167:50611-149.156.96.8:53-UDP
1777297843.101426,traffic,in,UDP,149.156.96.8,10.129.9.167,53,50611,175,61,0,0,147,1.078,10.129.9.167:50611-149.156.96.8:53-UDP
1777297843.101765,traffic,in,TCP,142.250.130.95,10.129.9.167,443,56040,125,118,24,478,85,7.2,10.129.9.167:56040-142.250.130.95:443-TCP
1777297843.102009,traffic,in,TCP,10.129.9.167,142.250.130.95,56040,443,40,128,16,255,0,0.243,10.129.9.167:56040-142.250.130.95:443-TCP
1777297843.102321,traffic,in,UDP,10.129.9.167,149.156.96.8,57989,53,71,128,0,0,43,2.404,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.102878,traffic,in,UDP,149.156.96.8,10.129.9.167,53,57989,99,61,0,0,71,0.557,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.103227,traffic,in,UDP,10.129.9.167,149.156.96.8,50611,53,71,128,0,0,43,1.801,10.129.9.167:50611-149.156.96.8:53-UDP
1777297843.103752,traffic,in,UDP,149.156.96.8,10.129.9.167,53,50611,99,61,0,0,71,0.525,10.129.9.167:50611-149.156.96.8:53-UDP
1777297843.104075,traffic,in,TCP,10.129.9.167,140.82.112.21,61776,443,41,128,16,253,1,165.71,10.129.9.167:61776-140.82.112.21:443-TCP
1777297843.104317,traffic,in,TCP,140.82.112.21,10.129.9.167,443,61776,52,239,16,72,0,0.242,10.129.9.167:61776-140.82.112.21:443-TCP
1777297843.104644,traffic,in,UDP,10.129.9.167,149.156.96.8,57989,53,59,128,0,0,31,1.766,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.104977,traffic,in,UDP,10.129.9.167,149.156.96.8,50611,53,59,128,0,0,31,1.225,10.129.9.167:50611-149.156.96.8:53-UDP
1777297843.106097,traffic,in,UDP,149.156.96.8,10.129.9.167,53,57989,139,61,0,0,111,1.453,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.10759,traffic,in,UDP,149.156.96.8,10.129.9.167,53,50611,171,61,0,0,143,2.613,10.129.9.167:50611-149.156.96.8:53-UDP
1777297843.108061,traffic,in,UDP,10.129.9.167,149.156.96.8,57989,53,59,128,0,0,31,1.964,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.109594,traffic,in,UDP,149.156.96.8,10.129.9.167,53,57989,139,61,0,0,111,1.533,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.110084,traffic,in,UDP,10.129.9.167,149.156.96.8,50611,53,59,128,0,0,31,2.494,10.129.9.167:50611-149.156.96.8:53-UDP
1777297843.111388,traffic,in,UDP,149.156.96.8,10.129.9.167,53,50611,171,61,0,0,143,1.304,10.129.9.167:50611-149.156.96.8:53-UDP
1777297843.111854,traffic,in,UDP,10.129.9.167,149.156.96.8,57989,53,74,128,0,0,46,2.26,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.112281,traffic,in,UDP,10.129.9.167,149.156.96.8,50611,53,74,128,0,0,46,0.892,10.129.9.167:50611-149.156.96.8:53-UDP
1777297843.114285,traffic,in,UDP,149.156.96.8,10.129.9.167,53,57989,510,61,0,0,482,2.431,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.116663,traffic,in,UDP,149.156.96.8,10.129.9.167,53,50611,494,61,0,0,466,4.382,10.129.9.167:50611-149.156.96.8:53-UDP
